lx,report_date,report_time,reporter_name,reporter_phone,report_type,incident_location,incidenet_location_specific,incident_location_province,summary,investigator,case_status,note
2568-012,2025-01-14,14:00 น.,นายสมชาย ใจเย็น,061-777-8888,อุบัติเหตุจราจร,ถนนสุขุมวิท ซอย 39,เขตวัฒนา,กรุงเทพ,เมื่อวันที่ 2025-01-14 เวลา 13:50 น. รถยนต์ของนายสมชายถูกรถจักรยานยนต์ที่ขับขี่มาด้วยความเร็วสูงชนด้านข้างขณะกำลังเลี้ยว รถจักรยานยนต์ล้ม คนขับบาดเจ็บเล็กน้อย รถยนต์ของนายสมชายเสียหายที่ประตูหน้าด้านซ้าย,พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,รอผลการสอบสวนจากพนักงานสอบสวน
2568-013,2025-01-15,10:00 น.,นางจินตนา สุขสบาย,081-123-4567,อุบัติเหตุจราจร,สี่แยกอโศกมนตรี,เขตวัฒนา และ เขตคลองเตย,กรุงเทพ,เมื่อวันที่ 2025-01-14 เวลาประมาณ 17:30 น. ขณะที่นางจินตนาขับรถเก๋งผ่านสี่แยกอโศกฯ ได้ถูกรถจักรยานยนต์คันหนึ่งฝ่าไฟแดงพุ่งชนบริเวณด้านข้าง คนขับจักรยานยนต์ได้รับบาดเจ็บเล็กน้อย ส่วนรถของนางจินตนาได้รับความเสียหายที่ประตูหน้าด้านซ้าย,ร.ต.อ.วิชาญ ชัยชนะ,ยุติการสอบสวน,คู่กรณีตกลงชดใช้ค่าเสียหายและค่ารักษาพยาบาล
2568-014,2025-01-15,13:00 น.,นายชัยวัฒน์ ศิริชัย,081-888-9999,ฆาตกรรม,โรงแรมแห่งหนึ่ง ย่านสุขุมวิท,เขตคลองเตย หรือ เขตวัฒนา,กรุงเทพ,เมื่อวันที่ 2025-01-14 เวลาประมาณ 22:00 น. พบศพหญิงสาวไม่ทราบชื่อนอนเสียชีวิตอยู่ภายในห้องพักโรงแรม มีบาดแผลถูกรัดคอ คาดว่าเสียชีวิตมาแล้วไม่ต่ำกว่า 8 ชั่วโมง,พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,ตรวจสอบกล้องวงจรปิดของโรงแรมและเก็บหลักฐานในที่เกิดเหตุ
2568-015,2025-01-16,13:50 น.,นายชาญชัย กล้าหาญ,081-777-8888,อุบัติเหตุจราจร,ถนนรามคำแหง ซอย 43/1,เขตบางกะปิ,กรุงเทพ,เมื่อวันที่ 2025-01-16 เวลา 13:40 น. นายชาญชัยขับรถยนต์ถูกรถกระบะที่ขับแซงซ้ายมาเบียด ทำให้รถเสียหลักไปชนท้ายรถยนต์ที่จอดอยู่ริมถนน รถของนายชาญชัยและรถยนต์ที่จอดอยู่ได้รับความเสียหายเล็กน้อย,ร.ต.อ.วิชาญ ชัยชนะ,อยู่ระหว่างสอบสวน,ตรวจสอบภาพจากกล้องวงจรปิดในซอยและสอบถามผู้เห็นเหตุการณ์
2568-016,2025-01-18,10:00 น.,นางสาวกนกวรรณ จันทร์เพ็ญ,081-555-6666,ของหาย,ตลาดนัดรถไฟรัชดา,เขตดินแดง,กรุงเทพ,"เมื่อวันที่ 2025-01-18 เวลา 09:30 น. นางสาวกนกวรรณทำกระเป๋าสะพายข้างยี่ห้อ Kate Spade มูลค่า 15,000 บาท หายขณะเดินซื้อของ ภายในมีเงินสด 4,000 บาท, บัตรประชาชน, และบัตรเครดิต",พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,ประสานงานร้านค้าบริเวณที่คาดว่าทำหายและตรวจสอบกล้องวงจรปิด
2568-017,2025-01-20,12:45 น.,นางสาวสุภาพร อ่อนหวาน,064-789-0123,บัญชีม้า,อาคารพาณิชย์ ซอยประชาอุทิศ 90,เขตทุ่งครุ,กรุงเทพ,"เมื่อวันที่ 2025-01-18 นางสาวสุภาพรถูกบุคคลไม่ทราบชื่อ (แอบอ้างเป็นเจ้าหน้าที่สรรพากร) โทรศัพท์มาแจ้งว่าเธอมีหนี้ภาษีที่ต้องชำระ และหลอกให้ติดตั้งแอปพลิเคชันควบคุมโทรศัพท์ จากนั้นเงินในบัญชีธนาคารของเธอจำนวน 80,000 บาท ได้ถูกโอนออกไปทั้งหมด",ร.ต.อ.วิชาญ ชัยชนะ,อยู่ระหว่างสอบสวน,รวบรวมข้อมูลการโทรและหลักฐานการโอนเงิน
2568-018,2025-01-20,10:00 น.,นายสมศักดิ์ คงมั่น,085-555-6666,อาวุธปืน,สนามยิงปืนแห่งหนึ่งในกรุงเทพฯ,ข้อมูลไม่เพียงพอที่จะระบุเขต,unknown,เมื่อวันที่ 2025-01-20 เวลา 09:45 น. นายสมศักดิ์ซึ่งเป็นเจ้าของสนามยิงปืน แจ้งว่ามีชายคนหนึ่งพยายามนำอาวุธปืนดัดแปลงเข้ามาใช้ในพื้นที่สนาม และมีพฤติกรรมน่าสงสัย,ร.ต.อ.วิชาญ ชัยชนะ,อยู่ระหว่างสอบสวน,ตรวจสอบอาวุธปืนและประวัติของผู้ต้องหา
2568-020,2025-01-20,14:00 น.,บริษัท ซอฟต์แวร์โซลูชั่นส์ จำกัด (โดยนายสมชาย ผู้จัดการ),02-890-1234,คอมพิวเตอร์,สำนักงานบริษัท ย่านอโศก,เขตวัฒนา,กรุงเทพ,เมื่อวันที่ 2025-01-19 ระบบคอมพิวเตอร์ของบริษัทถูกแฮกเกอร์โจมตี ทำให้ข้อมูลสำคัญของบริษัทถูกขโมยไป และระบบบางส่วนถูกเข้ารหัสเรียกค่าไถ่เป็นจำนวนมาก,พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,ประสานงานกับกองบังคับการปราบปรามการกระทำความผิดเกี่ยวกับอาชญากรรมทางเทคโนโลยี (ปอท.) เพื่อกู้คืนระบบและติดตามผู้กระทำผิด
2568-021,2025-01-20,09:00 น.,นายตำรวจ (ไม่ประสงค์ออกนาม),-,อาวุธปืน,ด่านตรวจชายแดน อ.สุไหงโก-ลก จ.นราธิวาส,จังหวัดนราธิวาส,จังหวัดนราธิวาส,เมื่อวันที่ 2025-01-20 เวลา 08:30 น. เจ้าหน้าที่ประจำด่านตรวจชายแดนพบอาวุธปืนสงคราม (M16) จำนวน 4 กระบอก และเครื่องกระสุนจำนวนมาก ซุกซ่อนอยู่ในรถยนต์กระบะที่กำลังจะข้ามแดน ผู้ขับขี่ถูกจับกุม,ร.ต.อ.วิชาญ ชัยชนะ,อยู่ระหว่างสอบสวน,ตรวจสอบประวัติอาชญากรรมของผู้ต้องหาและแหล่งที่มาของอาวุธปืน
2568-022,2025-01-20,11:30 น.,นายสมชาย ชาญชัย,092-444-5555,ลักทรัพย์,"อพาร์ตเมนต์ ""สบายดีเพลส"" ห้อง 305",ข้อมูลไม่เพียงพอที่จะระบุเขต,unknown,"เมื่อวันที่ 2025-01-20 เวลาประมาณ 11:00 น. นายสมชายกลับจากทำงานนอกบ้าน พบว่าประตูห้องพักถูกงัดแงะ ลูกบิดประตูพังเสียหาย และภายในห้องถูกรื้อค้นกระจัดกระจาย ทีวีจอแบนขนาด 40 นิ้ว ยี่ห้อ LG มูลค่า 12,000 บาท ที่ติดตั้งอยู่บนผนังได้หายไป",พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,ตรวจสอบรอยนิ้วมือแฝงในที่เกิดเหตุและประสานเจ้าของอพาร์ตเมนต์ขอดูกล้องวงจรปิด
2568-023,2025-01-25,15:30 น.,นางสาวกรรณิกา ใสสะอาด,095-567-8901,ลักทรัพย์,"คอนโดมิเนียม ""เดอะไลฟ์"" อาคาร B ชั้น 15",ข้อมูลไม่เพียงพอที่จะระบุเขต,unknown,"เมื่อวันที่ 2025-01-24 เวลาประมาณ 22:00 น. ถึงเช้าวันที่ 25 ม.ค. นางสาวกรรณิกาถูกคนร้ายงัดแงะห้องพักคอนโดมิเนียม โดยคนร้ายได้ขโมยเครื่องประดับทองคำและนาฬิกาข้อมือยี่ห้อ Rolex มูลค่ารวมประมาณ 300,000 บาท ที่เก็บอยู่ในตู้เสื้อผ้าไป",พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,ประสานนิติบุคคลคอนโดเพื่อขอดูกล้องวงจรปิดทางเข้าออกและบนชั้น
2568-024,2025-01-28,14:20 น.,นายประพันธ์ อ่อนน้อม,081-000-1111,อุบัติเหตุจราจร,ถนนพระราม 4 ใกล้สามย่านมิตรทาวน์,เขตปทุมวัน,กรุงเทพ,เมื่อวันที่ 2025-01-28 เวลา 14:10 น. รถยนต์ของนายประพันธ์ถูกรถยนต์ที่ขับตามหลังมาชนท้ายอย่างจัง เนื่องจากรถคันหลังเบรกไม่ทัน รถทั้งสองคันได้รับความเสียหายเล็กน้อย ไม่มีผู้บาดเจ็บ,ร.ต.อ.วิชาญ ชัยชนะ,ยุติการสอบสวน,คู่กรณีตกลงค่าเสียหายและเคลียร์กันได้เรียบร้อย
2568-025,2025-01-30,11:00 น.,นายสมคิด สุภาพ,085-444-5555,ของหาย,ท่าอากาศยานสุวรรณภูมิ (อาคารผู้โดยสารขาเข้า),จังหวัดสมุทรปราการ,จังหวัดสมุทรปราการ,เมื่อวันที่ 2025-01-30 เวลา 10:45 น. นายสมคิดทำพาสปอร์ตและกระเป๋าคาดเอวหายขณะรอรับกระเป๋าเดินทาง ภายในมีเงินสกุลต่างประเทศ 500 ดอลลาร์สหรัฐฯ และเอกสารสำคัญส่วนตัว,ร.ต.อ.วิชาญ ชัยชนะ,อยู่ระหว่างสอบสวน,ประสานงานกับฝ่ายรักษาความปลอดภัยสนามบินและตรวจสอบกล้องวงจรปิด
2568-026,2025-02-01,10:00 น.,นายสมศักดิ์ พลเมืองดี,081-111-2222,ฆาตกรรม,บ้านพักอาศัย ซอยสุขุมวิท 71,เขตวัฒนา,กรุงเทพ,เมื่อวันที่ 2025-01-31 เวลาประมาณ 23:00 น. พบศพนายวิชัย นอนเสียชีวิตอยู่ภายในบ้านพัก มีบาดแผลถูกของมีคมแทงหลายแห่ง คาดว่าเสียชีวิตมาแล้วไม่ต่ำกว่า 6 ชั่วโมง เจ้าหน้าที่ตำรวจเข้าตรวจสอบที่เกิดเหตุและเก็บหลักฐาน,ร.ต.อ.วิชาญ ชัยชนะ,อยู่ระหว่างสอบสวน,ส่งศพชันสูตรเพื่อหาสาเหตุการเสียชีวิตและเก็บหลักฐานเพิ่มเติม
2568-027,2025-02-03,14:30 น.,นายพิชิต ชนะเลิศ,092-234-5678,บัญชีม้า,บริษัท เฟิร์ส สตาร์ทอัพ จำกัด อาคาร A ชั้น 5,ข้อมูลไม่เพียงพอที่จะระบุเขต,unknown,"เมื่อวันที่ 2025-01-28 นายพิชิตได้รับการติดต่อผ่านอีเมลจากบุคคลอ้างว่าเป็นตัวแทนบริษัทลงทุนต่างประเทศ หลอกให้ลงทุนในสกุลเงินดิจิทัลปลอม โดยมีการโอนเงินไปจำนวน 150,000 บาท เมื่อครบกำหนดผลตอบแทน ผู้แจ้งความไม่สามารถติดต่อบุคคลดังกล่าวได้อีกและเว็บไซต์ที่ใช้ลงทุนก็ถูกปิดไป",พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,รวบรวมหลักฐานการติดต่อและสลิปการโอนเงิน
2568-028,2025-02-05,15:40 น.,นางเพ็ญศรี สมัครใจ,092-333-4444,ของหาย,ตลาดนัดจตุจักร โครงการ 12,เขตจตุจักร,กรุงเทพ,"เมื่อวันที่ 2025-02-05 เวลา 15:00 น. นางเพ็ญศรีทำกระเป๋าเงินแบบผ้าสีฟ้าหายขณะเดินซื้อของ ภายในมีเงินสด 5,000 บาท, บัตร ATM, และบัตรเครดิต",พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,ประสานงานร้านค้าบริเวณที่คาดว่าทำหาย
2568-030,2025-02-09,09:00 น.,นางสาวกมลรัตน์ อ่อนโยน,092-888-9999,ของหาย,"ร้านกาแฟ ""มุมโปรด"" ซอยอารีย์",เขตพญาไท,กรุงเทพ,"เมื่อวันที่ 2025-02-09 เวลา 08:30 น. นางสาวกมลรัตน์วางแท็บเล็ต iPad Air 5 สีฟ้า มูลค่า 20,000 บาท ไว้บนโต๊ะในร้านกาแฟ เมื่อลุกไปเข้าห้องน้ำและกลับมาพบว่าแท็บเล็ตได้หายไปแล้ว",พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,ประสานงานกับเจ้าของร้านกาแฟเพื่อขอดูกล้องวงจรปิดภายในร้าน
2568-031,2025-02-10,11:00 น.,นางอรุณี แสงดาว,081-000-1111,ลักทรัพย์,ร้านสะดวกซื้อ 7-Eleven สาขาซอย 101/1,เขตพระโขนง,กรุงเทพ,เมื่อวันที่ 2025-02-09 เวลาประมาณ 23:00 น. กล้องวงจรปิดของร้านจับภาพชายคนหนึ่งขโมยสินค้าจำพวกเครื่องดื่มชูกำลังและขนมขบเคี้ยวไปเป็นจำนวนมาก มูลค่ารวมประมาณ 800 บาท ก่อนจะวิ่งหลบหนีออกจากร้านไป,ร.ต.อ.วิชาญ ชัยชนะ,อยู่ระหว่างสอบสวน,ตรวจสอบภาพจากกล้องวงจรปิดเพื่อระบุตัวผู้ต้องสงสัย
2568-032,2025-02-10,11:00 น.,ธนาคารกรุงไทย (โดยนายสุทธิ ผู้จัดการสาขา),02-888-9999,คอมพิวเตอร์,ธนาคารกรุงไทย สาขาลาดพร้าว 101,เขตวังทองหลาง,กรุงเทพ,เมื่อวันที่ 2025-02-09 ระบบ ATM ของธนาคารถูกโจมตีด้วยมัลแวร์ ทำให้เกิดความเสียหายและไม่สามารถให้บริการได้ชั่วคราว มีการถอนเงินผิดปกติจากบัญชีลูกค้าบางราย,พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,ประสานงานกับผู้เชี่ยวชาญด้านความปลอดภัยทางไซเบอร์เพื่อกู้คืนระบบและติดตามผู้กระทำผิด
2568-034,2025-02-10,09:45 น.,นางอรทัย มีสุข,091-234-5678,ลักทรัพย์,คอนโดมิเนียมสุขสบาย เรสซิเดนซ์ ชั้น 10,ข้อมูลไม่เพียงพอที่จะระบุเขต,unknown,"เมื่อคืนวันที่ 2025-02-09 ระหว่างเวลา 23:00 น. ถึง 07:00 น. ของเช้าวันที่ 2025-02-10 นางอรทัยได้ล็อคห้องพักเพื่อเข้านอน เมื่อตื่นเช้ามาพบว่าหน้าต่างระเบียงห้องถูกงัดแงะ และมีร่องรอยการรื้อค้นภายในห้อง สร้อยคอทองคำหนัก 2 บาท พร้อมจี้เพชร มูลค่าประมาณ 60,000 บาท ได้หายไป",ร.ต.อ.วิชาญ ชัยชนะ,อยู่ระหว่างสอบสวน,ประสานนิติบุคคลคอนโดเพื่อขอดูกล้องวงจรปิดทางเข้าออกและบริเวณใกล้เคียง
2568-035,2025-02-12,11:00 น.,นางสาวดวงใจ มีสุข,085-666-7777,ค้ามนุษย์,โรงพยาบาลเอกชนแห่งหนึ่งในกรุงเทพฯ,ข้อมูลไม่เพียงพอที่จะระบุเขต,unknown,เมื่อวันที่ 2025-02-11 นางสาวดวงใจแจ้งว่าน้องสาวของเธอ (อายุ 17 ปี) ถูกนายหน้าหลอกไปทำงานต่างประเทศ โดยอ้างว่าเป็นงานรายได้ดี แต่เมื่อไปถึงกลับถูกบังคับให้ค้าประเวณีและยึดหนังสือเดินทางไว้ทั้งหมด,ร.ต.อ.วิชาญ ชัยชนะ,อยู่ระหว่างสอบสวน,ประสานงานกับหน่วยงานที่เกี่ยวข้องเพื่อช่วยเหลือเหยื่อและติดตามตัวผู้กระทำผิด
2568-036,2025-02-12,09:30 น.,นางสาวดวงพร สว่าง,061-999-0000,ความผิดเกี่ยวกับเพศ,โรงแรมแห่งหนึ่ง ย่านสยาม,เขตปทุมวัน,กรุงเทพ,เมื่อวันที่ 2025-02-11 เวลาประมาณ 23:00 น. นางสาวดวงใจถูกชายแปลกหน้าพยายามล่วงละเมิดทางเพศขณะเดินทางกลับจากสถานบันเทิง,ร.ต.อ.วิชาญ ชัยชนะ,อยู่ระหว่างสอบสวน,ตรวจสอบกล้องวงจรปิดในบริเวณและระบุตัวผู้ต้องสงสัย
2568-038,2025-02-15,14:10 น.,นายสุเทพ แสนสุข,092-234-5678,บัญชีม้า,สถานีบริการน้ำมัน ปตท. สาขาแจ้งวัฒนะ,เขตหลักสี่,กรุงเทพ,"เมื่อวันที่ 2025-02-14 นายสุเทพได้รับข้อความ SMS อ้างว่าได้รับรางวัลใหญ่จากธนาคาร และให้คลิกลิงก์เพื่อรับรางวัล เมื่อคลิกแล้วถูกหลอกให้กรอกข้อมูลส่วนตัวและรหัส OTP ทำให้เงินในบัญชีถูกโอนออกไป 120,000 บาท",พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,รวบรวมหลักฐานข้อความ SMS และบันทึกการทำธุรกรรม
2568-039,2025-02-16,10:00 น.,นางสาวสุภาภรณ์ ใจดี,061-666-7777,ความผิดเกี่ยวกับเพศ,บ้านพัก ซอยสุขุมวิท 24,เขตคลองเตย,กรุงเทพ,เมื่อวันที่ 2025-02-15 เวลาประมาณ 23:00 น. นางสาวสุภาภรณ์ถูกชายแปลกหน้าพยายามล่วงละเมิดทางเพศขณะเดินทางกลับบ้าน แต่เธอวิ่งหนีและขอความช่วยเหลือจากชาวบ้านได้ทัน,ร.ต.อ.วิชาญ ชัยชนะ,อยู่ระหว่างสอบสวน,สอบปากคำพยานและตรวจสอบกล้องวงจรปิดบริเวณใกล้เคียง
2568-040,2025-02-18,15:00 น.,นางสาวมาลัย ชัยชนะ,090-555-6666,ฉ้อโกง,ตลาดนัดกลางคืน หน้าเซ็นทรัลลาดพร้าว,เขตจตุจักร,กรุงเทพ,"เมื่อวันที่ 2025-02-17 นางสาวมาลัยถูกหญิงคนหนึ่งหลอกให้ซื้อสินค้าปลอม (เสื้อผ้าแบรนด์เนมเลียนแบบ) ในราคาสูงถึง 8,000 บาท โดยอ้างว่าเป็นของแท้ลดราคา เมื่อนำไปตรวจสอบพบว่าเป็นของปลอมคุณภาพต่ำ",พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,สอบปากคำพยานและตรวจสอบกล้องวงจรปิดในบริเวณตลาด
2568-041,2025-02-18,13:00 น.,นางสุภาวดี ชื่นบาน,092-666-7777,ลักทรัพย์,ห้างสรรพสินค้าเมกาบางนา (แผนกเครื่องสำอาง),จังหวัดสมุทรปราการ,จังหวัดสมุทรปราการ,"เมื่อวันที่ 2025-02-18 เวลา 12:45 น. นางสุภาวดีทำกระเป๋าถือยี่ห้อ Prada มูลค่า 50,000 บาท หายขณะเลือกซื้อสินค้า ภายในมีเงินสด 10,000 บาท, บัตร ATM, และบัตรเครดิต",พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,ประสานงานร้านค้าบริเวณที่คาดว่าทำหายและตรวจสอบกล้องวงจรปิด
2568-042,2025-02-18,08:00 น.,นางสาวกนกวรรณ ศิริชัย,063-234-5678,อุบัติเหตุจราจร,ถนนสุขุมวิท ซอย 22,เขตคลองเตย,กรุงเทพ,เมื่อวันที่ 2025-02-18 เวลา 07:45 น. รถยนต์ของนางสาวกนกวรรณถูกรถจักรยานยนต์ที่ขับขี่มาด้วยความเร็วสูงชนท้ายอย่างรุนแรง ทำให้รถยนต์ของเธอได้รับความเสียหายที่ท้ายรถอย่างมาก ส่วนคนขับจักรยานยนต์ได้รับบาดเจ็บสาหัส,ร.ต.อ.วิชาญ ชัยชนะ,อยู่ระหว่างสอบสวน,ส่งศพชันสูตร (หากมีผู้เสียชีวิต) และตรวจสอบกล้องวงจรปิดบริเวณที่เกิดเหตุ
